Date,.COM Domains,.ORG Domains,.NET Domains
6/26/19,0.93044823,0.9318182,0.93740904
6/25/19,0.9347826,0.9591837,0.94563663
6/22/19,0.9316375,0.9375,0.8906634
6/20/19,0.9397315,0.93333334,0.94649225
6/19/19,0.9347826,0.94545454,0.9390104
6/18/19,0.92693835,0.93939394,0.9355532
6/17/19,0.9365352,0.8888889,0.93001187
6/7/19,0.93333334,0.974359,0.9187817
6/6/19,0.94760936,0.8918919,0.9148681
6/5/19,0.930945,0.8947368,0.9227273
6/4/19,0.9375334,0.902439,0.93447906
6/3/19,0.9240781,0.8947368,0.9305556
6/2/19,0.92969984,0.6969697,0.9246436
6/1/19,0.9351081,0.8518519,0.9548387
5/31/19,0.92713004,0.8947368,0.93897885
5/30/19,0.9386792,0.9354839,0.9291717
5/29/19,0.9418828,0.8648649,0.93968636
5/28/19,0.9391262,0.82758623,0.9337823
5/26/19,0.9261566,0.95238096,0.9386792
5/25/19,0.9328467,0.8,0.9351852
5/24/19,0.9342949,0.8108108,0.93073046
5/23/19,0.9461427,0.89285713,0.94170403
5/22/19,0.93031025,0.85,0.9016204
5/21/19,0.9390186,0.8181818,0.92949355
5/20/19,0.93934983,0.9318182,0.9030733
5/19/19,0.93745506,0.85,0.9232365
5/18/19,0.92360634,0.88235295,0.89587426
5/17/19,0.943038,0.95238096,0.938258
5/16/19,0.9368012,0.9230769,0.94329333
5/15/19,0.9276018,0.9714286,0.9359916
5/14/19,0.9445507,0.9142857,0.9281184
5/13/19,0.92792314,0.8965517,0.92091835
5/3/19,0.9371957,0.9,0.9268585
5/2/19,0.92477876,0.96666664,0.93838257
5/1/19,0.9232237,0.8484849,0.9319899
4/30/19,0.9407342,0.88461536,0.9361234
4/29/19,0.9292338,0.88235295,0.9251782
4/28/19,0.9340741,0.9310345,0.9201597
4/27/19,0.9389313,0.7619048,0.90457255
4/26/19,0.9255429,0.9310345,0.9237288
4/25/19,0.93135434,0.9411765,0.9197397
4/24/19,0.94221646,0.8333333,0.9257642
4/23/19,0.93415636,0.9148936,0.90968585
4/22/19,0.5714286,0.85714287,0.61538464
4/21/19,0.9291076,0.84375,0.90422535
4/20/19,0.9432624,0.9,0.9375
4/19/19,0.9326923,0.95238096,0.93840104
4/18/19,0.9375303,0.8,0.92875
4/17/19,0.94209355,0.93333334,0.9292683
4/16/19,0.9240675,0.8863636,0.9302326
4/15/19,0.93633693,0.9130435,0.9242236
4/14/19,0.92067987,0.902439,0.92668027
4/13/19,0.92893773,0.8611111,0.9184466
4/12/19,0.9431472,0.9230769,0.8965952
4/11/19,0.9403595,0.7894737,0.95068806
4/10/19,0.938328,0.9,0.9475138
4/9/19,0.93500674,0.8214286,0.9230769
4/8/19,0.93217057,0.88235295,0.91258276
4/7/19,0.9269663,0.877551,0.92957747
4/6/19,0.92882067,0.88235295,0.9047619
4/5/19,0.9272198,0.95238096,0.9442815
4/4/19,0.9348429,0.92105263,0.93079096
4/3/19,0.93595845,0.88461536,0.9397117
4/2/19,0.9239579,0.90697676,0.9293333
4/1/19,0.9317872,0.82,0.9329114
3/30/19,0.937223,0.90697676,0.9617978
3/29/19,0.93352884,0.92,0.9411765
3/28/19,0.93788546,0.8636364,0.92377263
3/26/19,0.9353448,0.84,0.9444444
3/25/19,0.93140966,0.88235295,0.9167842
3/24/19,0.9298867,0.84210527,0.9210155
3/23/19,0.9395568,0.7755102,0.91943127
3/22/19,0.9289192,0.8076923,0.9458824
3/21/19,0.9378558,0.9,0.9344729
3/20/19,0.9321632,0.97959185,0.93098783
3/19/19,0.5,0.9361702,0.93190414
3/18/19,0.9374097,0.8888889,0.5625
3/17/19,0.952514,0.975,0.93017125
3/16/19,0.92842394,0.96428573,0.93970895
3/15/19,0.92382413,0.88235295,0.93526787
3/14/19,0.9321574,0.8333333,0.93
3/13/19,0.93156934,0.7948718,0.93658537
3/12/19,0.92876345,0.8695652,0.92733186
3/11/19,0.9320113,0.85365856,0.944629
3/10/19,0.92535394,0.8,0.9260173
3/8/19,0.93774706,0.90789473,0.910299
3/7/19,0.91868824,0.9142857,0.91480446
3/6/19,0.9294013,0.902439,0.9415449
3/5/19,0.9141393,0.95652175,0.93273544
3/4/19,0.9356128,0.90909094,0.9291237
3/3/19,0.9391416,0.8235294,0.92638886
3/2/19,0.9259259,0.9310345,0.9173913
2/28/19,0.93444055,0.9736842,0.9275654
2/26/19,0.94391245,0.902439,0.9332509
2/25/19,0.92611766,0.95454544,0.9317365
2/24/19,0.92559725,0.86206895,0.91791046
2/23/19,0.9101124,0.84313726,0.92523366
2/21/19,0.93106496,0.86764705,0.9173913
2/20/19,0.93491125,0.87931037,0.937659
2/18/19,0.9286041,0.969697,0.9214418
2/17/19,0.92138577,0.9285714,0.92807746
2/16/19,0.92091835,0.9130435,0.9010309
2/15/19,0.92143214,0.8947368,0.9448819
2/14/19,0.9379728,0.8684211,0.9145199
2/13/19,0.9231412,0.8611111,0.90689236
2/12/19,0.9183075,0.73333335,0.93310267
2/11/19,0.9191548,0.6896552,0.9345291
2/10/19,0.93079096,0.8965517,0.9304462
2/9/19,0.9282325,0.8181818,0.88293654
2/8/19,0.91423184,0.875,0.94716245
2/6/19,0.92622584,0.90909094,0.91500664
2/5/19,0.9308088,0.969697,0.9245283
2/4/19,0.9116136,0.9285714,0.9263158
2/3/19,0.91991496,0.88,0.93715084
2/2/19,0.93289036,0.84210527,0.9287356
2/1/19,0.9235577,0.9166667,0.9137931
1/31/19,0.919392,0.8095238,0.9439655
1/30/19,0.9188446,0.8181818,0.93773824
1/28/19,0.9203629,0.89361703,0.92101914
1/27/19,0.92235124,0.95555556,0.922403
1/26/19,0.9173942,0.8965517,0.9266667
1/25/19,0.9383739,0.8,0.9385246
1/24/19,0.937819,0.93333334,0.9173789
1/23/19,0.91168994,0.8979592,0.930203
1/22/19,0.927907,0.9433962,0.9271255
1/21/19,0.91440725,0.9148936,0.9391408
1/20/19,0.93237704,0.93333334,0.92426586
1/19/19,0.92950934,0.95454544,0.90156597
1/18/19,0.92753625,0.83870965,0.87884617
1/17/19,0.9321126,0.8888889,0.94356006
1/16/19,0.92107624,0.85714287,0.9329962
1/15/19,0.9334792,0.9318182,0.919852
1/14/19,0.9295367,0.96153843,0.8865248
1/13/19,0.92536175,0.9047619,0.93869734