Count,Category,Percentage,Total
242,Food & Drink,9.857433809,2455
223,Other Home Services,9.083503055,
212,Arts & Entertainment,8.635437882,
184,PR & Branding Services,7.49490835,
166,Fashion,6.761710794,
146,Financial Services/Organizations,5.947046843,
117,Travel & Vocation,4.765784114,
111,Medical & Hospital,4.521384929,
104,Education,4.236252546,
97,Home Contractors,3.951120163,
95,Fitness & Gyms,3.869653768,
89,Cosmetics & Beauty Services,3.625254582,
88,Active Life,3.584521385,
88,Real Estate,3.584521385,
71,Automotive & Vehicles,2.892057026,
67,Event Planning Services,2.729124236,
53,Lawyer & Attorney,2.15885947,
47,Pets,1.914460285,
47,Technology,1.914460285,
39,General Consulting,1.588594705,
39,Photography Services,1.588594705,
35,Local Services,1.425661914,
25,Furniture & Home Decor,1.018329939,
25,Manually Created,1.018329939,
13,Drop This,0.529531568,
12,Massage & Spa,0.488798371,
9,General Shopping & Retail,0.366598778,
3,Child Care,0.122199593,
2,Engineering Services,0.081466395,
2,Ranching,0.081466395,
1,Golf Instruction,0.040733198,
1,Lingerie,0.040733198,
1,Moving Service,0.040733198,
1,Welding Gas Supplier,0.040733198,