Registrar,Count,Percentage,Total
Google Inc.,701,15%,4680
NameCheap,677,14%,
PDR Ltd. d/b/a PublicDomainRegistry.com,475,10%,
Tucows Inc.,357,8%,
1&1 Internet SE,341,7%,
Network Solutions,340,7%,
FastDomain Inc.,197,4%,
Paragon Internet Group Ltd t/a Paragon Names,168,4%,
Domain.com,163,3%,
eNom Inc.,106,2%,
Name.com,106,2%,
Wild West Domains,103,2%,
Namesilo,98,2%,
"Launchpad.com Inc.	80",80,2%,
Register.com,70,1%,
Automattic Inc.,68,1%,
Amazon Registrar,54,1%,
Dynadot,43,1%,
Crazy Domains FZ-LLC,41,1%,
FBS Inc.,41,1%,
New Dream Network,40,1%,
Alibaba Cloud Computing (Beijing) Co.,32,1%,
Porkbun,26,1%,
Gandi SAS,22,0%,
Registrar of Domain Names REG.RU LLC,22,0%,
Cronon AG,21,0%,
OVH,20,0%,
Nics Telekomunikasyon Ticaret Ltd. Sti.,20,0%,
Realtime Register B.V.,20,0%,
Uniregistrar Corp,18,0%,
TurnCommerce,14,0%,
1API GmbH,12,0%,
Hosting Concepts B.V. d/b/a Openprovider,12,0%,
"OnlineNIC Inc.	",12,0%,
Instra Corporation Pty Ltd.,11,0%,
Aerotek Bilisim Taahut Sanayi Ve Ticaret Ltd Sti.,9,0%,
Web Commerce Communications Limited dba WebNic.cc,8,0%,
101domain GRS Limited,7,0%,
Key-Systems GmbH,7,0%,
NetEarth One Inc. d/b/a NetEarth,7,0%,
Dattatec.com SRL,6,0%,
Moniker Online Services LLC,6,0%,
Netistrar Limited,6,0%,
united-domains AG,6,0%,
Internet Domain Service BS Corp,5,0%,
Net 4 India Limited,5,0%,
Omnis Network LLC,5,0%,
OpenTLD B.V.,5,0%,
Diamatrix C.C.,4,0%,
LCN.COM Ltd.,4,0%,
Ligne Web Services SARL,4,0%,
Neubox Internet S.A. de C.V.,4,0%,
Xin Net Technology Corporation,4,0%,
Digivity B.V.,3,0%,
Easyspace Limited,3,0%,
Epik Inc.,3,0%,
Gabia Inc.,3,0%,
INWX GmbH & Co. KG,3,0%,
LiquidNet Ltd.,3,0%,
Vautron Rechenzentrum AG,3,0%,
EuroDNS S.A.,2,0%,
MarkMonitor Inc.,2,0%,
Mat Bao Corporation,2,0%,
Namespro Solutions Inc.,2,0%,
NetArt Sp z o.o,2,0%,
Nominalia Internet S.L.,2,0%,
Papaki Ltd,2,0%,
Rebel.com Corp.,2,0%,
Reg2C.com Inc.,2,0%,
Web4Africa Inc.,2,0%,
Webnames.ca Inc.,2,0%,
Deschutesdomains.com LLC,1,0%,
Metaregistrar BV,1,0%,
P.A. Viet Nam Company Limited,1,0%,
Upperlink Limited,1,0%,